iter	RMSE
275	17246.64476
276	17236.28588
277	17220.47891
278	17197.71256
279	17174.16167
280	17151.09691
281	17132.25142
282	17116.18803
283	17108.3235
284	17086.49041
285	17062.83427
286	17052.82391
287	17030.40145
288	17022.85625
289	17012.74522
290	16988.51536
291	16966.93955
292	16959.54934
293	16925.48085
294	16910.28457
295	16884.92057
296	16876.89448
297	16869.10505
298	16855.85226
299	16833.15986
300	16822.51065
301	16804.87013
302	16781.57733
303	16769.9466
304	16760.35657
305	16731.72888
306	16714.89636
307	16708.64572
308	16677.22708
309	16653.20111
310	16612.86052
311	16579.59949
312	16574.21909
313	16548.22846
314	16541.57999
315	16533.98633
316	16526.11738
317	16506.97699
318	16486.54921
319	16463.2081
320	16429.55983
321	16403.56602
322	16393.86403
323	16374.97059
324	16341.76801
325	16313.78014
326	16283.55475
327	16266.72739
328	16247.89029
329	16235.37109
330	16207.98779
331	16176.39376
332	16155.07848
333	16142.4079
334	16121.00814
335	16107.57515
336	16091.11147
337	16074.08266
338	16055.95915
339	16040.14283
340	16031.6779
341	16000.85295
342	15993.32603
343	15976.65427
344	15956.91626
345	15934.74688
346	15921.05518
347	15890.48593
348	15876.01276
349	15863.12438
350	15849.22383
351	15822.75702
352	15806.79401
353	15788.08155
354	15755.68125
355	15747.60084
356	15710.61666
357	15680.04923
358	15664.89081
359	15630.7001
360	15594.92727
361	15586.38782
362	15564.20276
363	15555.96617
364	15535.55158
365	15528.42393
366	15499.60024
367	15477.86714
368	15455.95851
369	15432.8523
370	15416.44915
371	15392.72609
372	15383.11419
373	15361.478
374	15342.3668
375	15332.20222
376	15323.25439
377	15300.40503
378	15268.63837
379	15257.4658
380	15226.60291
381	15221.89131
382	15202.31196
383	15193.5595
384	15189.90233
385	15165.26084
386	15144.77046
387	15122.15883
388	15103.50208
389	15076.86915
390	15061.29741
391	15045.91341
392	15024.72356
393	15003.11068
394	14982.91315
395	14977.34578
396	14948.74366
397	14929.3523
398	14911.06694
399	14890.09988
400	14870.84644
401	14853.11627
402	14833.975
403	14813.81899
404	14783.35121
405	14767.58715
406	14742.37371
407	14728.66826
408	14710.43779
409	14687.69831
410	14659.18182
411	14635.10785
412	14626.25604
413	14610.94366
414	14592.14471
415	14582.99439
416	14563.78717
417	14548.7379
418	14519.32985
419	14514.21381
420	14493.47877
421	14470.31436
422	14465.38897
423	14453.06741
424	14438.39631
425	14421.22547
426	14398.45422
427	14395.70849
428	14378.74987
429	14373.28952
430	14350.47814
431	14337.20838
432	14322.35316
433	14316.15282
434	14296.43812
435	14270.40102
436	14245.50012
437	14224.41863
438	14216.23124
439	14186.78704
440	14167.68596
441	14163.76384
442	14139.77994
443	14118.82194
444	14099.92479
445	14097.11204
446	14072.97812
447	14044.83104
448	14027.20225
449	14022.00242
450	14010.93761
451	14006.82448
452	13986.61269
453	13966.88792
454	13948.42563
455	13938.5068
456	13924.9555
457	13902.73211
458	13876.82247
459	13860.18028
460	13842.04237
461	13820.25769
462	13807.69367
463	13803.67471
464	13779.25653
465	13754.80041
466	13733.19631
467	13713.92492
468	13691.37157
469	13672.26808
470	13655.05752
471	13630.1019
472	13626.18377
473	13607.14581
474	13595.2245
475	13582.07924
476	13565.13563
477	13557.69059
478	13543.11546
479	13526.95135
480	13516.77598
481	13499.11551
482	13482.09364
483	13462.0949
484	13459.59755
485	13445.73477
486	13431.09265
487	13419.26537
488	13394.7811
489	13381.26229
490	13365.21816
491	13341.19709
492	13330.94219
493	13320.28438
494	13307.97928
495	13291.0658
496	13274.91191
497	13272.43901
498	13255.17418
499	13240.1813
500	13225.36255
501	13215.79558
502	13205.33111
503	13195.88162
504	13178.22232
505	13154.4718
506	13142.48053
507	13127.91177
508	13102.803
509	13079.64942
510	13064.51295
511	13053.51929
512	13041.13377
513	13027.77066
514	13010.1764
515	12992.33483
516	12988.18412
517	12963.54801
518	12946.47774
519	12932.6631
520	12916.51754
521	12910.05121
522	12894.52591
523	12875.36123
524	12859.68142
525	12842.89832
526	12827.66433
527	12815.16569
528	12797.98322
529	12772.84191
530	12763.25324
531	12748.8663
532	12736.99675
533	12732.53915
534	12720.59711
535	12707.23161
536	12688.88929
537	12675.22445
538	12667.3691
539	12652.97453
540	12634.70017
541	12619.89835
542	12611.89867
543	12600.24489
544	12582.51944
545	12571.68075
546	12560.89662
547	12546.77061
548	12532.33233
549	12515.64522
550	12491.02829
551	12475.38688
552	12465.89194
553	12448.46091
554	12434.16499
555	12422.96423
556	12409.70135
557	12397.55761
558	12385.69899
559	12373.50714
560	12362.17854
561	12348.87464
562	12338.72208
563	12336.53331
564	12323.21679
565	12308.05448
566	12300.61205
567	12284.20098
568	12277.00261
569	12262.94873
570	12258.95764
571	12247.98893
572	12229.57429
573	12211.62177
574	12199.82025
575	12196.14083
576	12184.67978
577	12171.49999
578	12164.39323
579	12149.14697
580	12136.36576
581	12117.70646
582	12106.86796
583	12090.22366
584	12085.59745
585	12079.55124
586	12067.7038
587	12056.81843
588	12045.93737
589	12033.19676
590	12020.59003
591	12003.01973
592	11989.04753
593	11971.64967
594	11955.23355
595	11938.18547
596	11921.14654
597	11904.09832
598	11889.35491
599	11876.97896
600	11869.51309
601	11853.88731
602	11839.21106
603	11822.1659
604	11810.45255
605	11802.0005
606	11781.29607
607	11774.74122
608	11767.85933
609	11752.08094
610	11743.44019
611	11730.47332
612	11708.96162
613	11694.84547
614	11684.78156
615	11681.55306
616	11675.35661
617	11663.98496
618	11651.84634
619	11631.12488
620	11624.12195
621	11614.19296
622	11601.03299
623	11589.90677
624	11575.18364
625	11564.10295
626	11549.83859
627	11537.408
628	11534.06663
629	11522.00868
630	11507.1991
631	11497.69053
632	11485.70345
633	11477.43238
634	11461.19437
635	11451.32886
636	11436.11746
637	11423.73352
638	11412.15465
639	11398.02417
640	11386.19211
641	11373.62237
642	11365.03453
643	11352.42862
644	11337.10295
645	11328.64627
646	11314.57636
647	11305.16776
648	11295.10808
649	11283.44657
650	11281.01284
651	11269.06638
652	11265.93873
653	11252.56436
654	11248.47341
655	11240.81639
656	11225.00605
657	11210.14186
658	11195.49784
659	11178.9492
660	11164.14221
661	11152.38289
662	11147.34147
663	11135.82332
664	11128.60364
665	11111.04844
666	11100.54304
667	11091.56197
668	11076.2225
669	11067.72651
670	11058.83682
671	11049.70907
672	11036.65514
673	11030.91686
674	11011.46047
675	11001.17846
676	10991.15333
677	10975.21876
678	10969.1695
679	10953.66309
680	10943.28885
681	10932.06892
682	10921.84638
683	10909.28653
684	10894.8888
685	10886.26765
686	10874.93122
687	10864.30787
688	10855.22962
689	10845.54142
690	10833.78612
691	10820.35267
692	10809.95477
693	10799.58851
694	10790.1733
695	10776.27082
696	10764.46429
697	10758.33324
698	10750.80834
699	10746.54242
700	10732.37079
701	10720.09968
702	10712.23974
703	10708.03513
704	10697.88365
705	10680.0136
706	10674.36115
707	10663.29524
708	10646.05474
709	10630.14244
710	10617.88371
711	10601.47341
712	10589.71519
713	10576.59782
714	10572.06987
715	10558.24028
716	10553.23441
717	10541.84162
718	10533.09651
719	10523.36135
720	10519.99178
721	10501.33415
722	10492.37766
723	10486.51069
724	10477.75934
725	10464.86289
726	10444.57816
727	10420.67413
728	10411.13398
729	10394.46947
730	10384.67655
731	10376.46832
732	10357.70239
733	10349.59072
734	10337.16253
735	10331.00014
736	10316.46308
737	10306.61674
738	10303.32297
739	10297.05598
740	10293.75487
741	10285.87997
742	10272.0247
743	10259.75432
744	10249.03436
745	10242.32802
746	10238.00996
747	10227.60139
748	10223.12373
749	10219.36025
750	10209.53014
751	10204.71859
752	10192.91773
753	10177.26383
754	10174.27911
755	10162.73608
756	10152.94893
757	10143.16474
758	10136.42892
759	10126.94703
760	10107.8677
761	10097.08277
762	10088.18648
763	10080.20249
764	10064.17087
765	10062.16825
766	10058.51219
767	10056.70591
768	10044.3068
769	10032.68971
770	10012.14189
771	10003.2192
772	9992.935332
773	9977.071553
774	9955.416457
775	9945.435464
776	9939.559485
777	9930.951073
778	9914.028088
779	9906.623489
780	9896.024308
781	9887.47033
782	9874.183989
783	9858.342569
784	9843.290588
785	9827.946397
786	9819.180986
787	9816.53227
788	9804.237802
789	9789.668096
790	9777.739308
791	9773.910891
792	9764.776831
793	9759.893729
794	9749.649097
795	9747.316264
796	9744.41787
797	9733.667779
798	9721.407045
799	9708.265487
800	9698.985799
801	9693.91083
802	9684.808613
803	9673.42455
804	9671.425714
805	9659.951678
806	9656.320554
807	9649.302239
808	9638.241251
809	9623.474473
810	9613.719376
811	9610.122343
812	9608.732162
813	9601.241773
814	9598.566044
815	9590.636777
816	9582.669899
817	9566.027173
818	9553.726339
819	9543.255112
820	9535.079692
821	9526.185769
822	9515.298955
823	9507.713078
824	9494.033193
825	9489.674778
826	9484.20805
827	9471.668219
828	9459.455207
829	9447.009973
830	9438.788128
831	9428.798728
832	9415.880103
833	9406.032627
834	9400.261839
835	9391.750658
836	9381.367404
837	9374.804474
838	9366.475236
839	9360.019544
840	9345.637652
841	9335.845191
842	9323.353381
843	9310.192686
844	9304.224545
845	9297.338549
846	9292.363182
847	9277.45893
848	9266.173337
849	9261.106901
850	9253.006896
851	9241.217885
852	9232.827076
853	9224.056531
854	9214.695132
855	9206.890629
856	9198.714028
857	9188.94516
858	9180.313455
859	9172.144014
860	9163.344717
861	9159.722783
862	9151.586926
863	9141.00614
864	9134.377827
865	9132.257564
866	9118.567625
867	9111.849065
868	9108.633126
869	9102.29869
870	9097.209453
871	9084.97201
872	9075.149947
873	9068.569665
874	9060.648547
875	9058.054947
876	9046.871392
877	9031.358586
878	9026.68709
879	9023.349091
880	9018.987517
881	9006.004617
882	8995.93295
883	8989.579525
884	8978.548619
885	8969.741995
886	8959.576426
887	8953.242453
888	8943.157007
889	8935.734863
890	8925.251998
891	8913.418896
892	8901.264529
893	8894.502793
894	8888.403651
895	8880.719892
896	8870.519384
897	8860.327663
898	8848.434074
899	8842.786357
900	8834.644712
901	8817.491924
902	8814.795739
903	8807.842525
904	8802.450512
905	8796.01929
906	8781.397438
907	8772.848569
908	8766.714148
909	8758.516508
910	8751.56098
911	8739.374675
912	8735.353916
913	8718.461535
914	8703.254018
915	8691.443453
916	8682.195619
917	8672.838025
918	8664.096081
919	8654.467107
920	8643.007258
921	8638.123178
922	8632.031546
923	8624.913924
924	8614.770443
925	8609.102242
926	8604.773545
927	8598.327739
928	8590.167521
929	8579.397562
930	8564.402048
931	8550.511109
932	8544.640559
933	8538.206745
934	8531.661565
935	8519.721109
936	8517.778197
937	8510.519707
938	8504.363754
939	8494.549967
940	8481.808659
941	8473.470464
942	8460.180979
943	8448.404515
944	8443.448073
945	8435.938473
946	8430.349523
947	8422.751627
948	8409.496974
949	8394.997281
950	8386.857209
951	8376.19197
952	8365.613492
953	8356.164525
954	8348.681057
955	8345.281036
956	8335.954539
957	8326.263642
958	8314.084141
959	8307.357406
960	8293.381673
961	8285.588282
962	8272.500603
963	8260.656928
964	8255.887923
965	8245.654826
966	8234.459745
967	8219.099084
968	8218.605914
969	8210.273676
970	8200.660882
971	8192.948889
972	8185.840442
973	8183.582818
974	8176.055367
975	8172.009052
976	8162.45208
977	8153.249422
978	8148.598321
979	8135.834837
980	8130.120637
981	8120.612345
982	8119.273775
983	8113.201282
984	8108.441028
985	8104.464583
986	8097.939325
987	8087.962058
988	8081.724876
989	8075.03943
990	8064.424946
991	8059.141928
992	8057.723186
993	8054.381064
994	8047.44882
995	8037.047675
996	8034.493652
997	8023.849592
998	8017.492869
999	8016.80401
